caller_method	callee_method	line	source_text	enclosing_closure
switch_conversation	_show_ephemeral_greeting	1995	self._show_ephemeral_greeting()	
switch_conversation	_sync_composer_hint	1996	self._sync_composer_hint()	
switch_conversation	_select_model_name	2000	self._select_model_name(conv.model, warm=True, greet=not real)	
switch_conversation	_set_status	2002	"self._set_status(self._model or ""Ready"")"	
switch_conversation	_mark_history_dirty	2003	self._mark_history_dirty()	
switch_conversation	_rebuild_history_list	2004	self._rebuild_history_list()	
switch_conversation	_refresh_chat_title	2005	self._refresh_chat_title()	
_select_model_name	_begin_model_load	2022	self._begin_model_load(name, greet=greet)	
_select_model_name	_begin_model_load	2044	self._begin_model_load(\n                self._model, greet=bool(greet) and not self._messages\n            )	
_on_web_intent	_regenerate_message	2059	"self._regenerate_message(str(payload.get(""id"") or """"))"	
_on_web_intent	_continue_message	2061	"self._continue_message(str(payload.get(""id"") or """"))"	
_on_web_intent	_delete_message	2063	"self._delete_message(str(payload.get(""id"") or """"))"	
_on_web_intent	_edit_resend_message	2065	"self._edit_resend_message(\n                str(payload.get(""id"") or """"),\n                str(payload.get(""text"") or """"),\n            )"	
_persist_message	_ensure_conversation	2084	self._ensure_conversation()	
_persist_message	_mark_history_dirty	2093	self._mark_history_dirty()	
_restore_history	_mark_history_dirty	2110	self._mark_history_dirty()	
_restore_history	_apply_restored_transcript	2149	self._apply_restored_transcript(payload)	
_restore_history	_sync_composer_hint	2150	self._sync_composer_hint()	
_apply_restored_transcript	_show_empty_state	2172	self._show_empty_state()	
_apply_restored_transcript	_next_msg_id	2177	self._next_msg_id(role[:4])	
_apply_restored_transcript	_append_message	2179	"self._append_message(""user"", content, message_id=mid)"	
_apply_restored_transcript	_append_message	2181	"self._append_message(\n                    ""assistant"", content, markdown=True, message_id=mid\n                )"	
_delete_message	_find_message_index	2207	self._find_message_index(message_id)	
_delete_message	_native_remove_message	2224	self._native_remove_message(mid)	
_delete_message	_show_empty_state	2232	self._show_empty_state()	
_drop_messages_from	_native_remove_message	2253	self._native_remove_message(mid)	
_regenerate_message	_find_message_index	2258	self._find_message_index(message_id)	
_regenerate_message	_drop_messages_from	2264	self._drop_messages_from(idx + 1)	
_regenerate_message	_start_assistant_stream	2266	"self._start_assistant_stream(\n                mode=""new"",\n                api_messages=self._api_messages(prefix),\n            )"	
_regenerate_message	_api_messages	2268	self._api_messages(prefix)	
_regenerate_message	_native_remove_message	2286	self._native_remove_message(mid)	
_regenerate_message	_start_assistant_stream	2293	"self._start_assistant_stream(\n            mode=""replace"",\n            assistant_id=message_id,\n            api_messages=self._api_messages(prefix),\n        )"	
_regenerate_message	_api_messages	2296	self._api_messages(prefix)	
_edit_resend_message	_find_message_index	2310	self._find_message_index(message_id)	
_edit_resend_message	_drop_messages_from	2319	self._drop_messages_from(idx + 1)	
_edit_resend_message	_native_remove_message	2332	self._native_remove_message(message_id)	
_edit_resend_message	_append_message	2333	"self._append_message(""user"", text, message_id=message_id)"	
_edit_resend_message	_start_assistant_stream	2335	"self._start_assistant_stream(\n            mode=""new"",\n            api_messages=self._api_messages(prefix),\n        )"	
_edit_resend_message	_api_messages	2337	self._api_messages(prefix)	
_continue_message	_find_message_index	2343	self._find_message_index(message_id)	
_continue_message	_api_messages	2351	self._api_messages(self._messages[: idx + 1])	
_continue_message	_start_assistant_stream	2361	"self._start_assistant_stream(\n            mode=""continue"",\n            assistant_id=message_id,\n            seed_text=seed,\n            api_messages=api,\n        )"	
_set_status	_refresh_chat_title	2380	self._refresh_chat_title()	
_set_status	_refresh_chat_title	2382	self._refresh_chat_title()	
_on_input_key	_send	2388	self._send()	
_on_model_selected	_set_status	2408	self._set_status(name)	
_on_model_selected	_begin_model_load	2409	self._begin_model_load(name, greet=not self._messages)	
_refresh_models	_apply_health	2415	self._apply_health(checking_state())	
_refresh_models	_set_status	2416	"self._set_status(""Checking Ollama…"")"	
_refresh_models	_set_load_controls_sensitive	2417	self._set_load_controls_sensitive(False)	
_on_ollama_probe	_apply_health	2430	self._apply_health(result.state)	
_on_ollama_probe	_preferred_model	2438	self._preferred_model()	
_on_ollama_probe	_set_status	2444	"self._set_status(f""Loading {chosen}…"")"	
_on_ollama_probe	_begin_model_load	2446	self._begin_model_load(chosen, greet=not self._messages)	
_on_ollama_probe	_hide_load_overlay	2450	self._hide_load_overlay()	
_on_ollama_probe	_set_status	2466	self._set_status(result.state.title)	
_on_ollama_probe	_set_load_controls_sensitive	2468	self._set_load_controls_sensitive(True)	
_on_health_action	_refresh_models	2530	self._refresh_models()	
_on_health_action	_begin_model_load	2534	self._begin_model_load(model, greet=not self._messages)	
_on_health_action	_refresh_models	2536	self._refresh_models()	
_on_health_action	_apply_health	2538	"self._apply_health(\n                HealthState(\n                    kind=HealthKind.OK,\n                    title=""Ollama is ready"",\n                    detail="""",\n                )\n            )"	
_show_load_overlay	_start_load_pulse	2607	self._start_load_pulse()	
_show_load_overlay	_stop_load_pulse	2610	self._stop_load_pulse()	
_show_load_overlay	_set_load_controls_sensitive	2618	self._set_load_controls_sensitive(False)	
_hide_load_overlay	_stop_load_pulse	2643	self._stop_load_pulse()	
_hide_load_overlay	_set_load_controls_sensitive	2651	self._set_load_controls_sensitive(True)	
_update_load_progress	_stop_load_pulse	2678	self._stop_load_pulse()	
_update_load_progress	_start_load_pulse	2683	self._start_load_pulse()	
_begin_model_load	_show_load_overlay	2698	"self._show_load_overlay(\n            model=model,\n            title=""Loading model"",\n            status=""Checking if the model is already in memory…"",\n            pulse=True,\n        )"	
_begin_model_load	_set_status	2704	"self._set_status(f""Loading {model}…"")"	
_on_load_status	_start_load_pulse	2767	self._start_load_pulse()	
_on_load_status	_stop_load_pulse	2770	self._stop_load_pulse()	
_on_load_chunk	_update_load_progress	2777	self._update_load_progress(chunk)	
_on_model_load_finished	_stop_load_pulse	2786	self._stop_load_pulse()	
_on_model_load_finished	_hide_load_overlay	2790	self._hide_load_overlay()	
_on_model_load_finished	_apply_health	2792	self._apply_health(health)	
_on_model_load_finished	_set_status	2793	"self._set_status(""Load failed"")"	
_on_model_load_finished	_hide_load_overlay	2820	self._hide_load_overlay()	
_on_model_load_finished	_apply_health	2821	"self._apply_health(\n            HealthState(\n                kind=HealthKind.OK,\n                title=""Ollama is ready"",\n                detail=""Connected to the local Ollama service."",\n            )\n        )"	
_on_model_load_finished	_set_status	2830	self._set_status(model)	
_on_model_load_finished	_ensure_conversation	2833	self._ensure_conversation()	
_on_model_load_finished	_show_ephemeral_greeting	2839	self._show_ephemeral_greeting()	
_show_ephemeral_greeting	_show_empty_state	2870	self._show_empty_state()	
_invalidate_active_stream	_stream_finished	2897	self._stream_finished()	
_post_status_message	_next_msg_id	2903	"self._next_msg_id(""asst"")"	
_post_status_message	_append_message	2915	"self._append_message(\n                ""assistant"", text, message_id=mid, markdown=True\n            )"	
_try_composer_command	_run_ollama_pull	2928	self._run_ollama_pull(pull.group(1))	
_try_composer_command	_run_ollama_info	2931	"self._run_ollama_info(""list"")"	
_try_composer_command	_run_ollama_info	2934	"self._run_ollama_info(""ps"")"	
_try_composer_command	_post_status_message	2937	"self._post_status_message(\n            ""Composer command not recognized.\n\n""\n            ""Supported:\n""\n            ""- `ollama pull <model-name>`\n""\n            ""- `ollama list`\n""\n            ""- `ollama ps`\n\n""\n            ""Example: `ollama pull llama3.2`""\n        )"	
_update_status_message	_native_remove_message	2979	self._native_remove_message(mid)	
_update_status_message	_append_message	2982	"self._append_message(""assistant"", text, message_id=mid, markdown=True)"	
_run_ollama_pull	_composer_cmd_busy	3005	self._composer_cmd_busy()	
_run_ollama_pull	_post_status_message	3006	"self._post_status_message(\n                ""An Ollama command is already running. Wait for it to finish.""\n            )"	
_run_ollama_pull	_set_composer_cmd_busy	3011	self._set_composer_cmd_busy(True)	
_run_ollama_pull	_post_status_message	3012	"self._post_status_message(f""**Pulling** `{model}`…\n\n_starting_"", streaming=True)"	
_run_ollama_pull	_set_status	3013	"self._set_status(f""Pulling {model}…"")"	
_run_ollama_pull	_format_pull_progress	3022	self._format_pull_progress(chunk)	work
_run_ollama_pull	_update_status_message	3044	self._update_status_message(mid, b, done=False)	<lambda:L3043>
_run_ollama_pull	_update_status_message	3073	self._update_status_message(mid, final, done=True)	done
_run_ollama_pull	_set_composer_cmd_busy	3074	self._set_composer_cmd_busy(False)	done
_run_ollama_pull	_refresh_models	3076	self._refresh_models()	done
_run_ollama_pull	_set_status	3078	"self._set_status(self._model or ""Ready"")"	done
_run_ollama_info	_composer_cmd_busy	3087	self._composer_cmd_busy()	
_run_ollama_info	_post_status_message	3088	"self._post_status_message(\n                ""An Ollama command is already running. Wait for it to finish.""\n            )"	
_run_ollama_info	_set_composer_cmd_busy	3093	self._set_composer_cmd_busy(True)	
_run_ollama_info	_post_status_message	3094	"self._post_status_message(f""Running `{label}`…"", streaming=True)"	
_run_ollama_info	_set_status	3095	"self._set_status(f""Running {label}…"")"	
_run_ollama_info	_update_status_message	3112	self._update_status_message(mid, body, done=True)	done
_run_ollama_info	_set_composer_cmd_busy	3113	self._set_composer_cmd_busy(False)	done
_run_ollama_info	_set_status	3114	"self._set_status(self._model or ""Ready"")"	done
_send	_try_composer_command	3132	self._try_composer_command(text)	
_send	_refresh_models	3138	self._refresh_models()	
_send	_next_msg_id	3143	"self._next_msg_id(""user"")"	
_send	_append_message	3155	"self._append_message(""user"", text, message_id=uid)"	
_send	_persist_message	3157	"self._persist_message(""user"", text, message_id=uid)"	
_send	_sync_composer_hint	3158	self._sync_composer_hint()	
_send	_start_assistant_stream	3159	"self._start_assistant_stream(mode=""new"")"	
_remove_empty_state	_sync_composer_hint	3168	self._sync_composer_hint()	
_append_message	_remove_empty_state	3179	self._remove_empty_state()	
_append_message	_next_msg_id	3181	"self._next_msg_id(""user"" if is_user else ""asst"")"	
_append_message	_native_action_bar	3239	self._native_action_bar(\n                    mid, body, content, role=role, is_user=is_user\n                )	
_append_message	_scroll_to_end	3248	self._scroll_to_end()	
_native_action_bar	_find_message_index	3281	self._find_message_index(message_id)	current_text
_native_action_bar	_clipboard_set	3290	self._clipboard_set(current_text())	<lambda:L3290>
_native_action_bar	_native_edit_user	3297	self._native_edit_user(message_id, current_text())	<lambda:L3297>
_native_action_bar	_regenerate_message	3302	self._regenerate_message(message_id)	<lambda:L3302>
_native_action_bar	_delete_message	3307	self._delete_message(message_id)	<lambda:L3307>
_native_action_bar	_regenerate_message	3316	self._regenerate_message(message_id)	<lambda:L3316>
_native_action_bar	_continue_message	3321	self._continue_message(message_id)	<lambda:L3321>
_native_action_bar	_delete_message	3326	self._delete_message(message_id)	<lambda:L3326>
_native_action_bar	_clipboard_set	3350	self._clipboard_set(current_text())	<lambda:L3348>
_native_edit_user	_edit_resend_message	3396	self._edit_resend_message(message_id, text)	on_response
_start_assistant_stream	_set_status	3442	"self._set_status(""Thinking…"")"	
_start_assistant_stream	_next_msg_id	3450	"self._next_msg_id(""asst"")"	
_start_assistant_stream	_native_remove_message	3489	self._native_remove_message(aid)	
_start_assistant_stream	_append_message	3490	"self._append_message(\n                    ""assistant"", ""···"", typing=True, message_id=aid\n                )"	
_start_assistant_stream	_native_remove_message	3495	self._native_remove_message(aid)	
_start_assistant_stream	_append_message	3496	"self._append_message(\n                    ""assistant"", stream_seed or ""···"", typing=True, message_id=aid\n                )"	
_start_assistant_stream	_append_message	3502	"self._append_message(\n                    ""assistant"", ""···"", typing=True, message_id=aid\n                )"	
_start_assistant_stream	_api_messages	3519	self._api_messages()	
_start_assistant_stream	_apply_health	3543	"self._apply_health(\n                    classify_error(\n                        err,\n                        context=""stream"",\n                        model=origin_model,\n                    )\n                )"	finalize_ui
_start_assistant_stream	_commit_assistant_result	3572	self._commit_assistant_result(\n                    aid,\n                    final,\n                    mode=mode,\n                    origin_conversation_id=origin_conversation_id,\n                    allow_empty=bool(err),\n                )	finalize_ui
_start_assistant_stream	_stream_finished	3579	self._stream_finished()	finalize_ui
_start_assistant_stream	_commit_assistant_result	3594	self._commit_assistant_result(\n                aid,\n                final,\n                mode=mode,\n                origin_conversation_id=origin_conversation_id,\n                allow_empty=bool(err),\n            )	finalize_ui
_start_assistant_stream	_native_remove_message	3603	self._native_remove_message(aid)	finalize_ui
_start_assistant_stream	_append_message	3604	"self._append_message(\n                    ""assistant"", final, markdown=True, message_id=aid\n                )"	finalize_ui
_start_assistant_stream	_scroll_to_end	3607	self._scroll_to_end()	finalize_ui
_start_assistant_stream	_stream_finished	3608	self._stream_finished()	finalize_ui
_start_assistant_stream	_scroll_to_end	3630	self._scroll_to_end()	flush_stream
_start_assistant_stream	_scroll_to_end	3649	self._scroll_to_end()	flush_stream
_commit_assistant_result	_find_message_index	3686	self._find_message_index(assistant_id)	
_stream_finished	_set_status	3739	self._set_status(self._model)	
_stream_finished	_set_status	3741	"self._set_status(""Ready"")"	
